year,cps_group,employed_thousands
2022,"management, business, and financial operations occupations",29350.5
2022,office and administrative support occupations,16096.5
2022,production occupations,8255.916666666666
2022,professional and related occupations,38748.75
2022,sales and related occupations,14316.083333333334
2022,service occupations,25437.666666666668
2022,transportation and material moving occupations,11826.416666666666
2023,construction and extraction occupations,8457.0
2023,"farming, fishing, and forestry occupations",987.25
2023,"installation, maintenance, and repair occupations",4881.416666666667
2023,"management, business, and financial operations occupations",30544.0
2023,office and administrative support occupations,15954.0
2023,production occupations,8279.666666666666
2023,professional and related occupations,39730.916666666664
2023,sales and related occupations,14324.666666666666
2023,service occupations,26171.166666666668
2023,transportation and material moving occupations,11706.083333333334
2024,construction and extraction occupations,8519.916666666666
2024,"farming, fishing, and forestry occupations",969.8333333333334
2024,"installation, maintenance, and repair occupations",4901.416666666667
2024,"management, business, and financial operations occupations",30601.666666666668
2024,office and administrative support occupations,15795.083333333334
2024,production occupations,7943.75
2024,professional and related occupations,40142.166666666664
2024,sales and related occupations,14090.333333333334
2024,service occupations,26451.666666666668
2024,transportation and material moving occupations,11929.5
2025,construction and extraction occupations,8489.727272727272
2025,"farming, fishing, and forestry occupations",1000.1818181818181
2025,"installation, maintenance, and repair occupations",5060.363636363636
2025,"management, business, and financial operations occupations",31048.909090909092
2025,office and administrative support occupations,16444.272727272728
2025,production occupations,7889.454545454545
2025,professional and related occupations,40289.27272727273
2025,sales and related occupations,14159.272727272728
2025,service occupations,27230.454545454544
2025,transportation and material moving occupations,11880.90909090909
2026,construction and extraction occupations,8026.5
2026,"farming, fishing, and forestry occupations",990.625
2026,"installation, maintenance, and repair occupations",4942.0
2026,"management, business, and financial operations occupations",30859.875
2026,office and administrative support occupations,16354.375
2026,production occupations,7825.5
2026,professional and related occupations,40362.75
2026,sales and related occupations,14213.5
2026,service occupations,26919.875
2026,transportation and material moving occupations,12061.625
