survey_year,dorn_group,tenure_class,displaced_thousands,unweighted_count,sampling_variance
1990,beauty,all_tenures,32.31588,20,69.67352521069448
1990,child,all_tenures,13.43221,9,26.340348333594147
1990,clean,all_tenures,47.38113,29,111.4378052501291
1990,cleric,all_tenures,1328.5064,772,3311.948693444629
1990,constr,all_tenures,629.88241,377,1632.7767070040375
1990,exec,all_tenures,734.9918399999999,414,1586.5036574347014
1990,farmer,all_tenures,12.36276,7,28.29396131604775
1990,finsales,all_tenures,348.51943,196,735.745508056215
1990,firepol,all_tenures,1.68579,1,3.3816324170214034
1990,food,all_tenures,409.67995,236,1053.6169120501756
1990,guard,all_tenures,40.63365,25,79.93688808421467
1990,janitor,all_tenures,137.92718,75,294.7232468810163
1990,mechanic,all_tenures,383.61752,221,839.6974944248959
1990,mgmtrel,all_tenures,255.01548,152,530.2985686054433
1990,mining,all_tenures,36.387800000000006,26,69.95138848532692
1990,operator,all_tenures,1341.3171499999999,755,2965.7294133982805
1990,otheragr,all_tenures,67.76252000000001,40,141.077372173599
1990,othpers,all_tenures,16.60501,13,25.998998300235176
1990,product,all_tenures,385.73445000000004,226,820.3067410294699
1990,prof,all_tenures,544.87973,318,1284.2541301924305
1990,recreation,all_tenures,12.244369999999998,9,28.77204412713241
1990,retsales,all_tenures,611.89649,362,1315.7289079094446
1990,shealth,all_tenures,51.927870000000006,32,111.64029315107697
1990,tech,all_tenures,260.78852,149,740.5984304490181
1990,transp,all_tenures,961.53125,534,2292.8476835815
1990,beauty,long_tenured,18.464740000000003,11,36.312897731075275
1990,child,long_tenured,5.549440000000001,4,9.608821659823716
1990,clean,long_tenured,15.40385,9,28.309113609354768
1990,cleric,long_tenured,612.61444,369,1439.7849364837787
1990,constr,long_tenured,198.68577,128,458.76691942959314
1990,exec,long_tenured,414.31370000000004,227,893.7773260387431
1990,farmer,long_tenured,7.21796,4,19.58322231860962
1990,finsales,long_tenured,198.96276,115,419.42043603254126
1990,food,long_tenured,107.58532000000001,70,187.89512197308383
1990,guard,long_tenured,13.512360000000001,9,27.758646534595336
1990,janitor,long_tenured,54.73429,30,131.73740403599703
1990,mechanic,long_tenured,185.15156,109,453.8821454519747
1990,mgmtrel,long_tenured,139.06554,83,290.09986878354806
1990,mining,long_tenured,24.336470000000002,17,51.96708027241405
1990,operator,long_tenured,715.9924599999999,409,1577.2728567036183
1990,otheragr,long_tenured,34.62069,21,72.37664176395155
1990,othpers,long_tenured,6.971,5,10.038774022200112
