coding_block,occ1990dd,census_code,employed_thousands
2003_2010,593,6400,355.181067625
2003_2010,593,6720,229.6283279
2003_2010,594,6300,185.37107399166666
2003_2010,595,6510,1952.2230644416666
2003_2010,597,6500,78.94299953333335
2003_2010,597,6530,547.7622973499999
2003_2010,597,7740,230.10686405833334
2003_2010,598,6820,220.31758391666668
2003_2010,599,6310,26.470136816666667
2003_2010,599,6520,1093.34189055
2003_2010,599,6710,291.063006625
2003_2010,599,6760,333.92953892500003
2003_2010,614,6800,277.13448999166667
2003_2010,614,6920,36.647938016666664
2003_2010,615,6830,68.98941813333332
2003_2010,616,6840,391.73868216666665
2003_2010,617,6910,33.851020883333334
2003_2010,617,6940,331.95334281666663
2003_2010,628,7700,6855.588497016666
2003_2010,634,8130,643.9706692666667
2003_2010,637,8030,3347.5921715666664
2003_2010,643,6210,171.48080519166663
2003_2010,644,8210,78.88653329166667
2003_2010,645,8060,74.97555528333334
2003_2010,645,8440,34.28849518333333
2003_2010,645,8520,3.8064585083333333
2003_2010,649,8910,86.24887768333335
2003_2010,653,8160,62.68913007500001
2003_2010,657,8500,639.1356754916667
2003_2010,658,8510,195.8342892
2003_2010,666,8350,734.8399847249998
2003_2010,668,8450,407.11481174999994
2003_2010,669,8330,85.38391933333334
2003_2010,675,8920,298.775026375
2003_2010,677,3520,408.30997311666664
2003_2010,678,3410,3494.5483778583334
2003_2010,678,8760,782.14685765
2003_2010,679,8230,267.655859525
2003_2010,684,8120,49.607906558333326
2003_2010,686,7810,2427.0511832166667
2003_2010,687,7800,1528.6351632166668
2003_2010,688,7840,721.4120852
2003_2010,694,8620,583.2093135833334
2003_2010,695,8600,344.9997204499999
2003_2010,696,8610,812.3240494166666
2003_2010,699,8630,309.63759139166666
2003_2010,703,8010,150.270457275
2003_2010,703,8020,39.44366948333334
2003_2010,706,7950,915.1885286333332
2003_2010,707,7940,108.09914655
2003_2010,708,7960,43.746405033333325
2003_2010,709,8000,483.6681873333333
2003_2010,713,7930,81.49763971666667
2003_2010,719,8100,498.497371425
2003_2010,723,8200,155.30813918333334
2003_2010,724,8150,64.91649559166666
2003_2010,727,8530,382.90533988333334
2003_2010,729,8540,283.3816076666667
2003_2010,733,8220,3182.4890300916663
2003_2010,733,8550,229.44097935000002
2003_2010,734,8240,444.4810748833333
2003_2010,736,8250,375.29844934166664
2003_2010,736,8260,1564.2025213416669
2003_2010,738,8420,203.14663229999996
2003_2010,739,8410,121.23225164166668
2003_2010,743,8400,95.55216733333333
2003_2010,744,8320,2045.939311033333
2003_2010,745,8340,47.99662231666666
2003_2010,747,8310,522.019226325
2003_2010,749,8360,39.93531500833333
2003_2010,749,8460,213.282430125
2003_2010,753,8850,121.01307398333334
2003_2010,754,8800,2226.098216616667
2003_2010,755,7920,110.16748975833333
2003_2010,755,8430,15.214258508333332
2003_2010,755,8720,313.67102074166667
2003_2010,756,8650,839.6473833833332
2003_2010,757,8640,458.15283705
2003_2010,763,7830,102.82641889166666
2003_2010,764,8860,85.46731018333335
2003_2010,765,8930,387.53253070000005
2003_2010,766,8040,212.90017530833336
2003_2010,766,8730,125.78985081666666
2003_2010,769,7850,94.05908614166667
2003_2010,769,8710,677.0911956499999
2003_2010,774,8830,494.7642412
2003_2010,779,8810,1406.2186639333331
2003_2010,779,8840,32.24360574166667
2003_2010,779,8900,27.457193025000002
2003_2010,779,8940,154.8678524083333
2003_2010,779,8960,7472.946075391667
2003_2010,783,8140,4339.039740733333
2003_2010,785,7710,119.24944484166667
2003_2010,785,7720,1595.6688898833333
2003_2010,785,7730,156.97639569166665
2003_2010,785,7750,8154.499728275001
2003_2010,799,8740,5543.9901930999995
